timestamp,x,y,z,r
2024/06/05-18:53:27.602837,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.740242,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.820496,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.871819,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.975377,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.042686,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.094657,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.179702,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.262140,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.361280,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.432535,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.505318,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.614720,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.665420,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.711963,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.794548,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.869825,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:28.939602,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.027730,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.097558,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.206442,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.299078,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.381047,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.457705,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.544523,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.607522,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.667249,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.757371,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.857990,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:29.896854,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.010994,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.147945,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.206416,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.294484,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.393900,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.436166,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.490886,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.591939,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.665684,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.774323,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.825318,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:30.917431,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.000644,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.035632,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.120248,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.198897,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.233029,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.323458,400.32,-96.77,272.65,-4.01
